"","V1","V2","V3"
"1","1","5309","Alabama"
"2","2","945","Alaska"
"3","4","9924","Arizona"
"4","5","2992","Arkansas"
"5","6","35431","California"
"6","8","6875","Colorado"
"7","9","5252","Connecticut"
"8","10","1619","Delaware"
"9","11","1143","District of Columbia"
"10","12","26728","Florida"
"11","13","9705","Georgia"
"12","15","1364","Hawaii"
"13","16","1668","Idaho"
"14","17","14632","Illinois"
"15","18","9772","Indiana"
"16","19","2265","Iowa"
"17","20","2505","Kansas"
"18","21","9497","Kentucky"
"19","22","6309","Louisiana"
"20","23","1877","Maine"
"21","24","9726","Maryland"
"22","25","10943","Massachusetts"
"23","26","14424","Michigan"
"24","27","4416","Minnesota"
"25","28","2655","Mississippi"
"26","29","8799","Missouri"
"27","30","1015","Montana"
"28","31","1032","Nebraska"
"29","32","4938","Nevada"
"30","33","2450","New Hampshire"
"31","34","11844","New Jersey"
"32","35","3998","New Mexico"
"33","36","20533","New York"
"34","37","12209","North Carolina"
"35","38","329","North Dakota"
"36","39","23826","Ohio"
"37","40","6071","Oklahoma"
"38","41","4043","Oregon"
"39","42","25007","Pennsylvania"
"40","44","1997","Rhode Island"
"41","45","5852","South Carolina"
"42","46","469","South Dakota"
"43","47","10620","Tennessee"
"44","48","20890","Texas"
"45","49","4666","Utah"
"46","50","750","Vermont"
"47","51","7874","Virginia"
"48","53","8211","Washington"
"49","54","5485","West Virginia"
"50","55","6858","Wisconsin"
"51","56","739","Wyoming"
