"","state","year","drug","drugspecificoverdoses","overalldeathsper100k","totaldrugdeaths","rxrateper100","percentprabusers12andolder","population"
"2","alabama",1999,"Natural",10,NA,NA,NA,NA,NA
"54","alabama",1999,"Synthetic",10,NA,NA,NA,NA,NA
"106","alabama",1999,"Methadone",16,NA,NA,NA,NA,NA
"158","alabama",1999,"Heroin",NA,NA,NA,NA,NA,NA
"210","alabama",2000,"Natural",26,NA,NA,NA,NA,NA
"262","alabama",2000,"Synthetic",11,NA,NA,NA,NA,NA
"314","alabama",2000,"Methadone",12,NA,NA,NA,NA,NA
"366","alabama",2000,"Heroin",NA,NA,NA,NA,NA,NA
"418","alabama",2001,"Natural",22,NA,NA,NA,NA,NA
"470","alabama",2001,"Synthetic",NA,NA,NA,NA,NA,NA
"522","alabama",2001,"Methadone",26,NA,NA,NA,NA,NA
"574","alabama",2001,"Heroin",NA,NA,NA,NA,NA,NA
"626","alabama",2002,"Natural",30,NA,NA,NA,NA,NA
"678","alabama",2002,"Synthetic",NA,NA,NA,NA,NA,NA
"730","alabama",2002,"Methadone",33,NA,NA,NA,NA,NA
"782","alabama",2002,"Heroin",NA,NA,NA,NA,NA,NA
"834","alabama",2003,"Natural",22,NA,NA,NA,NA,NA
"886","alabama",2003,"Synthetic",NA,NA,NA,NA,NA,NA
"938","alabama",2003,"Methadone",25,NA,NA,NA,NA,NA
"990","alabama",2003,"Heroin",NA,NA,NA,NA,NA,NA
"1042","alabama",2004,"Natural",32,NA,NA,NA,NA,NA
"1094","alabama",2004,"Synthetic",12,NA,NA,NA,NA,NA
"1146","alabama",2004,"Methadone",46,NA,NA,NA,NA,NA
"1198","alabama",2004,"Heroin",NA,NA,NA,NA,NA,NA
"1250","alabama",2005,"Natural",24,NA,NA,NA,NA,NA
"1302","alabama",2005,"Synthetic",11,NA,NA,NA,NA,NA
"1354","alabama",2005,"Methadone",47,NA,NA,NA,NA,NA
"1406","alabama",2005,"Heroin",NA,NA,NA,NA,NA,NA
"1458","alabama",2006,"Natural",49,NA,NA,115.6,NA,NA
"1510","alabama",2006,"Synthetic",22,NA,NA,115.6,NA,NA
"1562","alabama",2006,"Methadone",65,NA,NA,115.6,NA,NA
"1614","alabama",2006,"Heroin",NA,NA,NA,115.6,NA,NA
"1666","alabama",2007,"Natural",66,NA,NA,120.3,NA,NA
"1718","alabama",2007,"Synthetic",21,NA,NA,120.3,NA,NA
"1770","alabama",2007,"Methadone",86,NA,NA,120.3,NA,NA
"1822","alabama",2007,"Heroin",NA,NA,NA,120.3,NA,NA
"1874","alabama",2008,"Natural",73,NA,NA,126.1,NA,NA
"1926","alabama",2008,"Synthetic",19,NA,NA,126.1,NA,NA
"1978","alabama",2008,"Methadone",101,NA,NA,126.1,NA,NA
"2030","alabama",2008,"Heroin",NA,NA,NA,126.1,NA,NA
"2082","alabama",2009,"Natural",92,NA,NA,131.6,NA,NA
"2134","alabama",2009,"Synthetic",31,NA,NA,131.6,NA,NA
"2186","alabama",2009,"Methadone",88,NA,NA,131.6,NA,NA
"2238","alabama",2009,"Heroin",12,NA,NA,131.6,NA,NA
"2290","alabama",2010,"Natural",82,11.4,547,134.3,NA,4785536
"2342","alabama",2010,"Synthetic",34,11.4,547,134.3,NA,4785536
"2394","alabama",2010,"Methadone",78,11.4,547,134.3,NA,4785536
"2446","alabama",2010,"Heroin",NA,11.4,547,134.3,NA,4785536
"2498","alabama",2011,"Natural",92,11.5,552,136.6,NA,4798649
"2550","alabama",2011,"Synthetic",19,11.5,552,136.6,NA,4798649
"2602","alabama",2011,"Methadone",63,11.5,552,136.6,NA,4798649
"2654","alabama",2011,"Heroin",14,11.5,552,136.6,NA,4798649
"2706","alabama",2012,"Natural",62,11.7,562,143.8,NA,4813946
"2758","alabama",2012,"Synthetic",16,11.7,562,143.8,NA,4813946
"2810","alabama",2012,"Methadone",55,11.7,562,143.8,NA,4813946
"2862","alabama",2012,"Heroin",35,11.7,562,143.8,NA,4813946
"2914","alabama",2013,"Natural",65,12.4,598,142.4,NA,4827660
"2966","alabama",2013,"Synthetic",30,12.4,598,142.4,NA,4827660
"3018","alabama",2013,"Methadone",41,12.4,598,142.4,NA,4827660
"3070","alabama",2013,"Heroin",40,12.4,598,142.4,NA,4827660
"3122","alabama",2014,"Natural",90,14.9,723,135.2,5.24,4840037
"3174","alabama",2014,"Synthetic",47,14.9,723,135.2,5.24,4840037
"3226","alabama",2014,"Methadone",44,14.9,723,135.2,5.24,4840037
"3278","alabama",2014,"Heroin",122,14.9,723,135.2,5.24,4840037
"3330","alabama",2015,"Natural",87,15.1,736,125,NA,4850858
"3382","alabama",2015,"Synthetic",70,15.1,736,125,NA,4850858
"3434","alabama",2015,"Methadone",40,15.1,736,125,NA,4850858
"3486","alabama",2015,"Heroin",111,15.1,736,125,NA,4850858
"3538","alabama",2016,"Natural",94,15.5,756,121,NA,4860545
"3590","alabama",2016,"Synthetic",157,15.5,756,121,NA,4860545
"3642","alabama",2016,"Methadone",34,15.5,756,121,NA,4860545
"3694","alabama",2016,"Heroin",126,15.5,756,121,NA,4860545
"3746","alabama",2017,"Natural",141,17.1,835,107.2,NA,4874747
"3798","alabama",2017,"Synthetic",198,17.1,835,107.2,NA,4874747
"3850","alabama",2017,"Methadone",30,17.1,835,107.2,NA,4874747
